",""Weight_seeds_Top_net"",""Weight_mfl_net"",""Gen"",""Pop"",""Gen_Pop"",""Sampler"",""Date"",""Total_height"",""Plant_Biomass"",""relMRE"""
"227,0.15135,0,8,""3"",""G8_P3"",""Nathan"",""20/07/2020"",63,4.49756,0"
"228,0.11785,0,1,""3"",""G1_P3"",""Nathan"",""21/07/2020"",88.5,7.38066,0"
"229,0.08335,0,8,""1"",""G8_P1"",""Nathan"",""21/07/2020"",76.5,21.69906,0"
"230,0.16665,0,1,""5"",""G1_P5"",""Nathan"",""21/07/2020"",72.5,23.70896,0"
"231,0,0.15925,8,""5"",""G8_P5"",""Nathan"",""21/07/2020"",79,10.05901,1"
"232,0.14555,0,1,""1"",""G1_P1"",""Nathan"",""21/07/2020"",76,23.48196,0"
"233,0.05125,0,1,""5"",""G1_P5"",""Nathan"",""21/07/2020"",86.5,14.29496,0"
"234,0.15835,0.0624,1,""3"",""G1_P3"",""Nora"",""21/07/2020"",67.5,14.06786,0.282672706681767"
"235,0.0837500000000001,0.09155,8,""3"",""G8_P3"",""Nora"",""21/07/2020"",90,19.06941,0.522247575584712"
"236,0.0559500000000001,0.02095,8,""1"",""G8_P1"",""Nora"",""21/07/2020"",64,9.53531,0.272431729518855"
"237,0.16625,0.0436500000000001,1,""3"",""G1_P3"",""Prosper"",""21/07/2020"",72.5,21.32661,0.207956169604574"
"238,0.15575,0.0182,1,""1"",""G1_P1"",""Prosper"",""21/07/2020"",50,4.38236,0.104627766599598"
"239,0.26065,0.0317500000000001,1,""5"",""G1_P5"",""Prosper"",""22/07/2020"",74,20.69071,0.10858413132695"
"240,0.13075,0.013,1,""1"",""G1_P1"",""Prosper"",""22/07/2020"",84.5,7.83616,0.0904347826086956"
"241,0.20335,0.0078,1,""3"",""G1_P3"",""Prosper"",""22/07/2020"",101,23.20776,0.0369405635803931"
"242,0,0.11765,8,""1"",""G8_P1"",""Prosper"",""22/07/2020"",49.9,1.30491,1"
"243,0.0132500000000001,0.22425,8,""5"",""G8_P5"",""Nathan"",""22/07/2020"",75.5,16.27581,0.944210526315789"
"244,0.36485,0,1,""5"",""G1_P5"",""Nathan"",""22/07/2020"",66.5,21.90576,0"
"245,0.17875,0.0208,8,""3"",""G8_P3"",""Nathan"",""22/07/2020"",89,16.77046,0.104234527687296"
"246,0.0952500000000001,0,1,""1"",""G1_P1"",""Nathan"",""22/07/2020"",81,7.93076,0"
"247,0.09855,0.013,8,""1"",""G8_P1"",""Nathan"",""22/07/2020"",68.5,17.08686,0.116539668310175"
"248,0.0317500000000001,0,1,""5"",""G1_P5"",""Nora"",""22/07/2020"",68,14.46936,0"
"249,0.17745,0.0468,1,""5"",""G1_P5"",""Nora"",""22/07/2020"",88,19.27086,0.208695652173913"
"250,0.03585,0,8,""5"",""G8_P5"",""Nathan"",""23/07/2020"",72,5.73556,0"
"251,0.0327500000000001,0,8,""3"",""G8_P3"",""Nathan"",""23/07/2020"",85.5,16.06256,0"
"252,0.12795,0.0052,8,""5"",""G8_P5"",""Nathan"",""23/07/2020"",72,16.02756,0.0390536988358994"
"253,0.10425,0.05805,1,""1"",""G1_P1"",""Anouck"",""03/08/2020"",67.5,4.31101,0.357670979667283"
"254,0.0761500000000001,0.0546,1,""5"",""G1_P5"",""Anouck"",""03/08/2020"",48,3.20206,0.417590822179732"
"255,0.03835,0,8,""5"",""G8_P5"",""Anouck"",""03/08/2020"",59,12.88226,0"
"256,0.0264500000000001,0,8,""1"",""G8_P1"",""Anouck"",""04/08/2020"",74,18.02416,0"
"257,0.03205,0.0026,8,""3"",""G8_P3"",""Nora"",""03/08/2020"",87,15.18446,0.075036075036075"
"258,0.10605,0.0286,1,""1"",""G1_P1"",""Nora"",""03/08/2020"",71.5,15.93766,0.212402525064983"
"259,0.0486500000000001,NA,1,""5"",""G1_P5"",""Solenn"",""03/08/2020"",73.5,12.90296,NA"
"260,0.11095,0.13205,8,""1"",""G8_P1"",""Solenn"",""03/08/2020"",74,13.59761,0.543415637860082"
"261,0,0.03925,8,""3"",""G8_P3"",""Solenn"",""04/08/2020"",83.5,25.11461,1"
"262,0.17715,0,1,""5"",""G1_P5"",""Solenn"",""04/08/2020"",67,8.94286,0"
"263,0.0978500000000001,0.0526500000000001,8,""5"",""G8_P5"",""Aphia"",""03/08/2020"",85.3,10.66771,0.34983388704319"
"264,0.06945,0,1,""3"",""G1_P3"",""Aphia"",""04/08/2020"",71.1,14.04406,0"
"265,0.0466500000000001,0.04395,1,""1"",""G1_P1"",""Prosper"",""03/08/2020"",84,8.71601,0.485099337748344"
"266,0.0517500000000001,0,1,""5"",""G1_P5"",""Prosper"",""03/08/2020"",72,13.07686,0"
"267,0,0.0487500000000001,8,""3"",""G8_P3"",""Prosper"",""03/08/2020"",60,12.93691,1"
"268,0.07345,0.13325,1,""3"",""G1_P3"",""Prosper"",""03/08/2020"",84,8.74151,0.644654088050315"
"269,0,0.10145,8,""5"",""G8_P5"",""Prosper"",""04/08/2020"",73,11.98331,1"
"270,0,0.0538500000000001,8,""1"",""G8_P1"",""Nora"",""04/08/2020"",94,15.45871,1"
"271,0.02615,0.0182,1,""5"",""G1_P5"",""Nora"",""04/08/2020"",91,12.10396,0.410372040586246"
"272,0.0407500000000001,0,8,""3"",""G8_P3"",""Anouck"",""04/08/2020"",60,3.18846,0"
"273,0.02505,0.02605,8,""5"",""G8_P5"",""Anouck"",""04/08/2020"",90,23.28508,0.509784735812133"
"274,0.08165,0.11625,1,""3"",""G1_P3"",""Anouck"",""05/08/2020"",84,16.06471,0.587417887822132"
"275,0.04335,0,8,""3"",""G8_P3"",""Anouck"",""05/08/2020"",80.5,11.07993,0"
"276,0.0568500000000001,0.02985,8,""1"",""G8_P1"",""Solenn"",""04/08/2020"",77,7.18951,0.344290657439446"
"277,0.0337500000000001,0,1,""5"",""G1_P5"",""Solenn"",""04/08/2020"",89.5,11.74636,0"
"278,0.0506500000000001,0.16935,8,""5"",""G8_P5"",""Solenn"",""04/08/2020"",74,11.21051,0.769772727272727"
"279,0.08535,0.0182,1,""1"",""G1_P1"",""Solenn"",""05/08/2020"",61,15.84906,0.175760502172863"
"280,0.0821500000000001,0.0208,1,""3"",""G1_P3"",""Solenn"",""05/08/2020"",90.5,12.40386,0.202039825157843"
"281,0.09865,0.0156,1,""1"",""G1_P1"",""Nora"",""05/08/2020"",81,12.56566,0.136542669584245"
"282,0.0468500000000001,0.04035,8,""3"",""G8_P3"",""Nora"",""05/08/2020"",70,14.81151,0.462729357798165"
"283,0.04405,0,1,""3"",""G1_P3"",""Aphia"",""04/08/2020"",87.5,7.08936,0"
"284,0.03585,0.15845,8,""1"",""G8_P1"",""Aphia"",""05/08/2020"",84,14.30181,0.815491507977355"
"285,0.0465500000000001,0,1,""3"",""G1_P3"",""Aphia"",""05/08/2020"",81.5,16.97566,0"
"286,0.0495500000000001,0,1,""1"",""G1_P1"",""Aphia"",""05/08/2020"",82,20.54836,0"
"287,0.0265500000000001,0,8,""5"",""G8_P5"",""Aphia"",""05/08/2020"",57.5,4.73676,0"
"288,0,0.80355,8,""1"",""G8_P1"",""Aphia"",""17/08/2020"",59,19.38231,1"
"289,0,0.11745,8,""5"",""G8_P5"",""Aphia"",""17/08/2020"",92,12.25681,1"
"290,0.0757500000000001,0,1,""3"",""G1_P3"",""Aphia"",""17/08/2020"",71,12.81366,0"
"291,0.07035,0.02405,1,""5"",""G1_P5"",""Aphia"",""18/08/2020"",85,22.30291,0.254766949152542"
"292,0.07355,0.0104,1,""5"",""G1_P5"",""Solenn"",""18/08/2020"",91.7,16.63506,0.123883263847528"
"293,0.0378500000000001,0.0273500000000001,1,""1"",""G1_P1"",""Prosper"",""17/08/2020"",84,22.12081,0.419478527607362"
"294,0.04805,0.04395,8,""1"",""G8_P1"",""Prosper"",""17/08/2020"",90,14.39941,0.477717391304348"
"295,0.0394500000000001,0.0376500000000001,1,""3"",""G1_P3"",""Prosper"",""17/08/2020"",67.5,13.73811,0.488326848249027"
"296,0.0364500000000001,0.00765000000000005,8,""3"",""G8_P3"",""Nathan"",""17/08/2020"",75,16.39921,0.173469387755103"
"297,0.0660500000000001,0.0312,1,""5"",""G1_P5"",""Nathan"",""17/08/2020"",96.5,19.08066,0.320822622107969"
"298,0.00965,0.04315,8,""5"",""G8_P5"",""Nathan"",""17/08/2020"",79,16.04281,0.817234848484849"
"299,0,0.06185,8,""1"",""G8_P1"",""Solenn"",""18/08/2020"",70.5,11.07778,1"
"300,0.05215,0.04265,8,""3"",""G8_P3"",""Aphia"",""19/08/2020"",88,12.86991,0.449894514767933"
"301,0.04725,0.0676,1,""5"",""G1_P5"",""Melissa"",""18/08/2020"",92.4,11.98946,0.588593818023509"
"302,0.07415,0,1,""5"",""G1_P5"",""Nathan"",""18/08/2020"",73.5,14.54506,0"
"303,0.10935,0,1,""3"",""G1_P3"",""Nathan"",""18/08/2020"",82,13.32616,0"
"304,0.07735,0.0364,1,""1"",""G1_P1"",""Anouck"",""19/08/2020"",60,10.54206,0.32"
"305,0.05285,0.0468,1,""5"",""G1_P5"",""Nathan"",""19/08/2020"",79.5,15.31896,0.469643753135976"
"306,0.14905,0,1,""1"",""G1_P1"",""Melissa"",""17/08/2020"",63,11.79426,0"
"307,0.04375,0,1,""3"",""G1_P3"",""Anouck"",""17/08/2020"",76,17.47116,0"
"308,0.06065,0,1,""1"",""G1_P1"",""Aphia"",""17/08/2020"",101.5,14.62996,0"
"309,0.02425,0.0156,1,""3"",""G1_P3"",""Solenn"",""17/08/2020"",63.5,5.16646,0.391468005018821"
"310,0,0.47195,8,""1"",""G8_P1"",""Melissa"",""17/08/2020"",71.5,28.58241,1"
"311,0.03585,0.01775,8,""5"",""G8_P5"",""Anouck"",""17/08/2020"",60.5,10.65241,0.33115671641791"
"312,0.02655,0.06325,8,""3"",""G8_P3"",""Anouck"",""17/08/2020"",108,19.09681,0.704342984409799"
"313,0.02935,0.04035,8,""3"",""G8_P3"",""Solenn"",""17/08/2020"",74.5,20.34351,0.578909612625538"
"314,0.05605,0,1,""3"",""G1_P3"",""Nathan"",""18/08/2020"",58,12.08236,0"
"315,0.10465,0.03195,8,""3"",""G8_P3"",""Aphia"",""18/08/2020"",85.2,25.51001,0.23389458272328"
"316,0.06735,0.013,1,""1"",""G1_P1"",""Anouck"",""18/08/2020"",48,4.96286,0.161792159303049"
"317,0.03705,0.03245,8,""3"",""G8_P3"",""Solenn"",""18/08/2020"",56.4,9.53688,0.466906474820144"
"318,0.07565,0,8,""5"",""G8_P5"",""Aphia"",""18/08/2020"",66.5,10.04976,0"
"319,0,0.04815,8,""1"",""G8_P1"",""Aphia"",""18/08/2020"",92,10.82948,1"
"320,0.08775,0,1,""1"",""G1_P1"",""Aphia"",""19/08/2020"",73,13.84486,0"
"321,0,0.04155,8,""5"",""G8_P5"",""Aphia"",""19/08/2020"",81,11.62771,1"
