",""Weight_seeds_Top_net"",""Weight_mfl_net"",""Gen"",""Pop"",""Gen_Pop"",""Sampler"",""Date"",""Total_height"",""Plant_Biomass"",""relMRE"""
"52,0.0968500000000001,0.02075,6,""3"",""G6_P3"",""Melissa"",""17_07_2020"",57.4,4.61031,0.176445578231292"
"53,0.12795,0.0366500000000001,5,""1"",""G5_P1"",""Melissa"",""17_07_2020"",73.3,14.05001,0.2226609963548"
"54,0.06815,0.0052,3,""5"",""G3_P5"",""Benoit"",""17_07_2020"",50,1.59866,0.070892978868439"
"55,0.27345,0.10225,7,""1"",""G7_P1"",""Benoit"",""17_07_2020"",55,15.62981,0.27215863721054"
"56,0.08135,0.0265500000000001,7,""3"",""G7_P3"",""Benoit"",""17_07_2020"",59,14.41011,0.246061167747915"
"57,0.15855,0.0264500000000001,5,""3"",""G5_P3"",""Aphia"",""21_07_2020"",62.5,13.77791,0.142972972972973"
"58,0.06615,0.0416500000000001,6,""3"",""G6_P3"",""Aphia"",""21_07_2020"",102,12.50851,0.386363636363637"
"59,0.0972500000000001,0.14185,7,""5"",""G7_P5"",""Solenn"",""20_07_2020"",85,19.76351,0.593266415725638"
"60,0,0.01375,7,""1"",""G7_P1"",""Solenn"",""17_07_2020"",61.5,12.67111,1"
"61,0.25515,0,3,""5"",""G3_P5"",""Solenn"",""20_07_2020"",58.5,18.85476,0"
"62,0.07525,0.026,3,""1"",""G3_P1"",""Solenn"",""21_07_2020"",66,2.25446,0.25679012345679"
"63,0.08565,0.03705,5,""1"",""G5_P1"",""Aphia"",""21_07_2020"",88,26.89011,0.301955990220049"
"64,0.0951500000000001,0.02215,6,""5"",""G6_P5"",""Melissa"",""17_07_2020"",63.8,12.54531,0.188832054560955"
"65,0.03925,0.0572,3,""3"",""G3_P3"",""Aphia"",""22_07_2020"",34,2.85746,0.593053395541731"
"66,0.0497500000000001,0.41285,6,""5"",""G6_P5"",""Prosper"",""23_07_2020"",73.5,19.05621,0.892455685257241"
"67,0.14225,0.10395,6,""1"",""G6_P1"",""Prosper"",""23_07_2020"",65.5,10.30961,0.422217709179529"
"68,0.10525,0.0286,5,""5"",""G5_P5"",""Prosper"",""23_07_2020"",58.5,24.82426,0.213672020918939"
"69,0.13205,0.0437500000000001,6,""5"",""G6_P5"",""Xinji"",""24_07_2020"",103,15.94931,0.248862343572242"
"70,0.0599500000000001,0.0132500000000001,5,""5"",""G5_P5"",""John"",""24_07_2020"",70,14.48931,0.18101092896175"
"71,0.10465,0.0615500000000001,6,""1"",""G6_P1"",""Nora"",""23_07_2020"",57,14.11481,0.370336943441637"
"72,0.07035,0.04105,5,""1"",""G5_P1"",""Nora"",""23_07_2020"",77,11.45451,0.368491921005386"
"73,0.0467500000000001,0.0192500000000001,7,""3"",""G7_P3"",""Aphia"",""24_07_2020"",69.5,9.66501,0.291666666666667"
"74,0.0435500000000001,0.35675,7,""5"",""G7_P5"",""Aphia"",""24_07_2020"",67,18.45511,0.891206595053709"
"75,0.0980500000000001,0.0203500000000001,6,""3"",""G6_P3"",""Melissa"",""24_07_2020"",92.7,22.39411,0.171875000000001"
